codigo_centro,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,nombre_centro,numero_mesas,electores_por_mesa,total_electores,source_url,source_api_url,source_hash,cache_ref,presente_tm_2024_v2,presente_tm_2024,presente_tm_2018,presente_tm_2015,incluido_tm_candidato,criterio_inclusion,tm_2024_total_electores,tm_2024_mesas,tm_2018_total_electores,tm_2018_mesas,tm_2015_total_electores,tm_2015_mesas,estado_resolucion,observaciones
060701010,06,BOLÍVAR,07,SIFONTES,01,CM. TUMEREMO,ESCUELA NACIONAL SAN MARTIN DE TURUNBAN,0,,889,https://regionales.macedoniadelnorte.com/bolivar/sifontes/cm-tumeremo/escuela-nacional-san-martin-de-turunban,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c5d,9b7ebd3cd729abdcf7a0a953ddb1767586404e744b776feb3997fb72d839fd4d,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c5d__80a6b4287c92ba3c.json,si,no,si,si,no,,,,625,1,631,2,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060701012,06,BOLÍVAR,07,SIFONTES,01,CM. TUMEREMO,ESCUELA UNITARIA ESPERANZA FE Y ALEGRIA,0,,315,https://regionales.macedoniadelnorte.com/bolivar/sifontes/cm-tumeremo/escuela-unitaria-esperanza-fe-y-alegria,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c5d,9b7ebd3cd729abdcf7a0a953ddb1767586404e744b776feb3997fb72d839fd4d,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c5d__80a6b4287c92ba3c.json,si,no,si,si,no,,,,290,1,292,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060701013,06,BOLÍVAR,07,SIFONTES,01,CM. TUMEREMO,ESCUELA BASICA NACIONAL UNITARIA SAN JUAN DE VENAMO,0,,111,https://regionales.macedoniadelnorte.com/bolivar/sifontes/cm-tumeremo/escuela-basica-nacional-unitaria-san-juan-de-venamo,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c5d,9b7ebd3cd729abdcf7a0a953ddb1767586404e744b776feb3997fb72d839fd4d,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c5d__80a6b4287c92ba3c.json,si,no,si,si,no,,,,78,1,78,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060801014,06,BOLÍVAR,08,BLVNO DE ANGOSTU,01,CM. CIUDAD PIAR,UNIDAD EDUCATIVA NACIONAL ANDRES BELLO,1,115,115,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/cm-ciudad-piar/unidad-educativa-nacional-andres-bello,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cd5,45b363906a33fd21b230e170581da80c3a132612e9a3e163a6ade5a86e020603,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929cd5__5013b3baad0723b5.json,si,no,no,no,no,,,,,,,,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060802002,06,BOLÍVAR,08,BLVNO DE ANGOSTU,02,SAN FRANCISCO,COLEGIO SAN JUAN BAUTISTA,1,72,72,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/san-francisco/colegio-san-juan-bautista,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cfe,9ad498b7042ec5b6fb653faa665c8e61f3c5be6f7aee66a24453f6de56ef22c3,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929cfe__c0b64151de65fad4.json,si,no,si,si,no,,,,100,1,95,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060802006,06,BOLÍVAR,08,BLVNO DE ANGOSTU,02,SAN FRANCISCO,ESCUELA BASICA UNITARIA JUAS JUAL 1,1,92,92,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/san-francisco/escuela-basica-unitaria-juas-jual-1,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cfe,9ad498b7042ec5b6fb653faa665c8e61f3c5be6f7aee66a24453f6de56ef22c3,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929cfe__c0b64151de65fad4.json,si,no,si,si,no,,,,66,1,63,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060802011,06,BOLÍVAR,08,BLVNO DE ANGOSTU,02,SAN FRANCISCO,ESCUELA BASICA NACIONAL UNITARIA LOS MONOS NUCLEO ESCOLAR RURAL 188,1,71,71,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/san-francisco/escuela-basica-nacional-unitaria-los-monos-nucleo-escolar-rural-188,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cfe,9ad498b7042ec5b6fb653faa665c8e61f3c5be6f7aee66a24453f6de56ef22c3,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929cfe__c0b64151de65fad4.json,si,no,si,si,no,,,,66,1,64,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060803009,06,BOLÍVAR,08,BLVNO DE ANGOSTU,03,BARCELONETA,ESCUELA BASICA NACIONAL BOLIVARIANA LAS BONITAS,0,,167,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/barceloneta/escuela-basica-nacional-bolivariana-las-bonitas,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929d18,6ec6f084ff4526b2e8537e0f9db3405dc9831e9c6766268415a0d6218e863ddb,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929d18__15bba3270e2cd86f.json,si,no,si,si,no,,,,123,1,122,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060803010,06,BOLÍVAR,08,BLVNO DE ANGOSTU,03,BARCELONETA,CENTRO DE EDUCACIÒN INTEGRAL BOLIVARIANO CAMPO GRANDE. EL CHIGUAO,0,,89,https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/barceloneta/centro-de-educacion-integral-bolivariano-campo-grande-el-chiguao,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929d18,6ec6f084ff4526b2e8537e0f9db3405dc9831e9c6766268415a0d6218e863ddb,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929d18__15bba3270e2cd86f.json,si,no,si,si,no,,,,68,1,66,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
070201014,07,CARABOBO,02,CARLOS ARVELO,01,GUIGUE,CENTRO DE EDUCACION INICIAL NACIONAL BOLIVARIANO TENIENTE PEDRO CAMEJO,4,,4479,https://regionales.macedoniadelnorte.com/carabobo/carlos-arvelo/guigue/centro-de-educacion-inicial-nacional-bolivariano-teniente-pedro-camejo,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929e70,bebc91faf90523f6e05b60ff6133b6c906c827822391dfa371423ec74dd1a9a3,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929e70__521df0ddc86091e3.json,si,si,si,si,no,,4480,4,4077,6,4084,8,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
