"codigo_centro","codigo_cne_nuevo","codigo_viejo","codigo_cne_viejo","nombre_centro","rep_2004","votos_validos","votos_gobierno","votos_oposicion","votos_otros","votos_nulos","total_votos","pct_gobierno","pct_oposicion","participacion","tipo_centro","fuente_url"
"010107028","010107028","880","880","U BAS REPUBLICA DEL ECUADOR","4230","2972","1345","1627","0","0","2972","45.26","54.74","70.26","Computarizado","https://web.archive.org/web/20071127084249id_/http://www.esdata.info:80/centro/880"
"010108001","010108001","501","501","CUERPO DE BOMBEROS","1877","1179","682","497","0","0","1179","57.85","42.15","62.81","Computarizado","https://web.archive.org/web/20080124195603id_/http://esdata.info:80/centro/501"
"010108002","010108002","961","961","INST PARROQUIAL SANTA ROSALIA","1772","1212","499","713","0","0","1212","41.17","58.83","68.4","Computarizado","https://web.archive.org/web/20080124161150id_/http://esdata.info:80/centro/961"
"010108003","010108003","970","970","LICEO INDEPENDENCIA","3662","2355","1027","1328","0","0","2355","43.61","56.39","64.31","Computarizado","https://web.archive.org/web/20071121220551id_/http://www.esdata.info:80/centro/970"
"010108004","010108004","980","980","U EDUC LUIS RAZZETTI","1851","1163","532","631","0","0","1163","45.74","54.26","62.83","Computarizado","https://web.archive.org/web/20071114062924id_/http://www.esdata.info:80/centro/980"
"010108005","010108005","990","990","E BASC NAC BOLIVAR","3555","2141","922","1219","0","0","2141","43.06","56.94","60.23","Computarizado","https://web.archive.org/web/20080121035030id_/http://www.esdata.info:80/centro/990"
"010108006","010108006","991","991","COLEGIO FRAY LUIS DE LEON","1267","951","393","558","0","0","951","41.32","58.68","75.06","Computarizado","https://web.archive.org/web/20071125114243id_/http://www.esdata.info:80/centro/991"
"010108007","010108007","1000","1000","U BASC MANUEL DIAZ RODRIGUEZ","4653","3183","2518","665","0","0","3183","79.11","20.89","68.41","Computarizado","https://web.archive.org/web/20071118120456id_/http://www.esdata.info:80/centro/1000"
"010108008","010108008","1001","1001","U EDUCT EUSEBIO GUZMAN","1000","767","657","110","0","0","767","85.66","14.34","76.7","Computarizado","https://web.archive.org/web/20080101022101id_/http://www.esdata.info:80/centro/1001"
"010108010","010108010","1010","1010","UND EDUC MUNICIPAL SUCRE","4217","2304","1698","606","0","0","2304","73.7","26.3","54.64","Computarizado","https://web.archive.org/web/20071123143555id_/http://www.esdata.info:80/centro/1010"
