nombre,lat,lon,riesgo
CENTRO DE EDUCACION INICIAL DR ANDRES ELOY BLANCO,10.0659,-69.372,1
CENTRO DE EDUCACION INICIAL DRA CLEMENTE BUSTAMANTE,10.0944,-69.2759,1
CENTRO DE EDUCACION INICIAL EL LIBERTADOR,10.0765,-69.3216,1
CENTRO DE EDUCACIÒN INICIAL EL PAUJIL,9.65003,-68.571,1
CENTRO DE EDUCACION INICIAL EL RETAZO,9.66097,-68.5909,1
CENTRO DE EDUCACION INICIAL ELVIRA PARILLI DE SENIOR,10.4665,-66.7866,1
CENTRO DE EDUCACION INICIAL ESTADAL DOCTOR AGUSTIN ZUBILLAGA,10.0309,-69.3637,1
CENTRO DE EDUCACION INICIAL ESTADAL EZEQUIEL ZAMORA,10.4801,-66.8052,1
CENTRO DE EDUCACION INICIAL FRANCOISE LABECA,10.1543,-68.8942,1
CENTRO DE EDUCACION INICIAL GABRIELA MISTRAL,10.3388,-67.0335,1
CENTRO DE EDUCACION INICIAL GENERAL RAFAEL URDANETA,10.6247,-71.6791,1
CENTRO DE EDUCACION INICIAL HAIDEE RAMIREZ,10.0494,-69.3454,1
CENTRO DE EDUCACION INICIAL HEROES DE AYACUCHO,9.7208,-63.201,1
CENTRO DE EDUCACION INICIAL HIGUERON.,10.3372,-68.7243,1
CENTRO DE EDUCACION INICIAL INDEPENDENCIA,10.328,-68.7504,1
CENTRO DE EDUCACION INICIAL INTEGRAL SIMONCITO CARLOS JOSE MUJICA,10.1507,-68.8982,1
CENTRO DE EDUCACION INICIAL IRAMA MARTINEZ DE ORTA,10.4532,-66.616,1
CENTRO DE EDUCACION INICIAL IRMA SAEZ MERIDA DE GRISANTI,9.73954,-63.2009,1
CENTRO DE EDUCACION INICIAL JARDIN INICIAL PRISCILO VELIZ,10.1757,-70.0749,1
CENTRO DE EDUCACION INICIAL JOSE DE LOS SANTOS PEREIRA,9.92198,-67.3767,1
CENTRO DE EDUCACION INICIAL JOSE FELIX RIBAS,10.0801,-69.3604,1
CENTRO DE EDUCACION INICIAL JOSE GREGORIO BASTIDAS,10.1043,-69.2744,1
CENTRO DE EDUCACION INICIAL LA LAGUNITA,10.9728,-63.9769,1
CENTRO DE EDUCACION INICIAL LA LLANADA,10.4237,-64.1859,1
CENTRO DE EDUCACION INICIAL LLANADA III,10.4239,-64.1847,1
CENTRO DE EDUCACION INICIAL LOMAS VERDES,10.0744,-69.2761,1
CENTRO DE EDUCACION INICIAL LOS CREPUSCULOS,10.0811,-69.3624,1
CENTRO DE EDUCACION INICIAL LOS ROSALES,10.0844,-69.1204,1
CENTRO DE EDUCACION INICIAL MAESTRA BELEN SAN JUAN,10.9489,-63.8704,1
CENTRO DE EDUCACIÓN INICIAL MANUELA ALVAREZ DE SOSA,10.4723,-66.9,1
CENTRO DE EDUCACION INICIAL MANUELA ALVAREZ DE SOSA II,10.4727,-66.8989,1
CENTRO DE EDUCACION INICIAL MANUELA ALVAREZ SOSA I,10.4726,-66.8993,1
CENTRO DE EDUCACION INICIAL MANUELITA SAENZ,10.0704,-69.3248,1
CENTRO DE EDUCACION INICIAL MARIA DE LA CONCEPCION PALACIOS Y BLANCO,9.92274,-68.3369,1
CENTRO DE EDUCACION INICIAL MARIA EDILIA VALERO,10.4834,-66.8897,1
CENTRO DE EDUCACION INICIAL MARIA GUEVARA,10.9432,-63.9672,1
CENTRO DE EDUCACION INICIAL MARIA PEREIRA DE DAZA,10.0825,-69.3024,1
CENTRO DE EDUCACION INICIAL MARIA TERESA DEL TORO,10.0862,-69.35,1
CENTRO DE EDUCACION INICIAL MARTHA LAMAS DE RENGEL,9.72726,-63.2529,1
CENTRO DE EDUCACION INICIAL MI FLORECITA,7.84212,-67.5143,1
CENTRO DE EDUCACION INICIAL MI PAPAGAYO VOLADOR,10.0599,-69.3279,1
CENTRO DE EDUCACION INICIAL MICAELA ESCALONA,10.0893,-69.3402,1
CENTRO DE EDUCACION INICIAL MIRANDA PRECURSOR,10.0785,-69.3325,1
CENTRO DE EDUCACIÓN INICIAL MONTAÑA ALTA,10.3588,-67.0047,1
