codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo,origen_mesas
010102025,OFICINA PRESIDENCIAL PARA PROYECTOS ESPECIALES 12,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,154,,,,1,derivado
010102026,CASA DE LA CULTURA Y BASE DE MISIONES JUANA LA AVANZADORA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,262,,,,1,derivado
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,881,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,881,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,3,881,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,4,881,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,5,881,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,6,880,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,7,880,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,8,880,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,9,880,,,,1,acta
010103001,COMPLEJO EDUCATIVO FERMIN TORO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,10,880,,,,1,acta
010103002,CASA COLONIAL SANTA INÉS CANO AMARILLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,630,,,,1,acta
010103002,CASA COLONIAL SANTA INÉS CANO AMARILLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,630,,,,1,acta
010103004,UNIDAD EDUCATIVA DISTRITAL BOLIVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,770,,,,1,acta
010103004,UNIDAD EDUCATIVA DISTRITAL BOLIVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,770,,,,1,acta
010103005,UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,986,,,,1,acta
010103005,UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,986,,,,1,acta
010103005,UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,3,985,,,,1,acta
010103006,UNIDAD EDUCATIVA COLEGIO ÁVILA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,759,,,,1,acta
010103006,UNIDAD EDUCATIVA COLEGIO ÁVILA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,759,,,,1,acta
010103006,UNIDAD EDUCATIVA COLEGIO ÁVILA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,3,758,,,,1,acta
010103008,BASE DE MISIONES CACIQUE GUAICAIPURO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,495,,,,1,derivado
010103010,BIBLIOTECA PUBLICA CENTRAL SIMON RODRIGUEZ,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,697,,,,1,acta
010103010,BIBLIOTECA PUBLICA CENTRAL SIMON RODRIGUEZ,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,2,696,,,,1,acta
010103010,BIBLIOTECA PUBLICA CENTRAL SIMON RODRIGUEZ,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,3,696,,,,1,acta
010103011,GRAN MISIÓN VIVIENDA EDIFICIO SIMON,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,03,PQ. CATEDRAL,1,164,,,,1,acta
