codigo_centro,codigo_cne_nuevo,codigo_viejo,codigo_cne_viejo,nombre_centro,num_electores,num_mesas,votos_validos,votos_gobierno,votos_oposicion,votos_otros,votos_nulos,total_votos,pct_gobierno,pct_oposicion,participacion,fuente_url
211402011,211402011,58156,58156,UNIDAD EDUCATIVA MARANATA,607,2,453,267,186,0,5,458,58.94,41.06,75.45,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403001,211403001,58030,58030,ESC BAS EST MTRO DANIEL NAVEA,3113,6,2320,1325,995,0,41,2361,57.11,42.89,75.84,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403002,211403002,58035,58035,JARD DE INF NAC TEREPAIMA,1123,2,802,419,383,0,7,809,52.24,47.76,72.04,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403003,211403003,58040,58040,UNI EDC EST MANUEL MARIA PADRON,4028,7,3073,1719,1354,0,31,3104,55.94,44.06,77.06,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403004,211403004,58045,58045,PREESCOLAR NACIONAL LAGUNITA,1316,3,1046,588,458,0,4,1050,56.21,43.79,79.79,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403005,211403005,58060,58060,ESC BAS NAC JORGE G ROTHE,1803,4,1483,745,738,0,10,1493,50.24,49.76,82.81,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403006,211403006,58150,58150,ESC BAS NAC DR. RAUL OSORIO LAZO,3753,7,2908,1678,1230,0,24,2932,57.7,42.3,78.12,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403007,211403007,58460,58460,ESC BAS NAC ALIDA O DE ROMERO,2555,5,2073,1021,1052,0,12,2085,49.25,50.75,81.6,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403008,211403008,58470,58470,ESC BAS EST SALOMON GARCIA SIERRA,2629,5,2029,1011,1018,0,16,2045,49.83,50.17,77.79,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403009,211403009,58471,58471,ESC NAC JOSE ANGEL LAMAS,1673,3,1359,703,656,0,16,1375,51.73,48.27,82.19,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211403010,211403010,58475,58475,UNI EDC NAC EMRIO LUNAR GONZALEZ,1437,3,1161,574,587,0,5,1166,49.44,50.56,81.14,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211404001,211404001,58050,58050,ESC BAS NAC R5,2010,4,1579,833,746,0,23,1602,52.75,47.25,79.7,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211404002,211404002,58070,58070,ESC BAS EST GUSTAVO FUENMAYOR,3972,7,3103,1587,1516,0,19,3122,51.14,48.86,78.6,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211404003,211404003,58080,58080,ESC BAS NAC RAFAEL URDANETA,3315,6,2640,1092,1548,0,38,2678,41.36,58.64,80.78,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
