transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,similarity,n_difiere_otras_variantes,n_difiere_vs_winner_share,n_difiere_vs_top2_gap,n_difiere_vs_full_profile,distancia_media_sel,distancia_mediana_sel,distancia_max_sel,pasada_maxima,tolerancia_maxima,conteo_por_tolerancia,electores_medianos_sel,electores_minimos_sel
2013_2018,legacy_similarity,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.891355,0.011407,47.891355,59.815233,55.673566,-4.141667,11.935285,7.782211,-4.153074,973381.0,top2_gap,1,1,0,1,1.043175,0.970062,1.824962,1,2,2:6,3890.0,3593.0
2013_2018,legacy_similarity,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,50.571465,0.057954,50.571465,65.555724,63.07122,-2.484504,15.042213,12.499755,-2.542459,1561777.0,top2_gap,4,4,0,4,0.813329,0.675342,1.534715,1,2,2:8,3580.5,1540.0
2013_2018,legacy_similarity,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,61.304757,0.139412,61.304757,66.92687,67.503975,0.577104,5.761525,6.199217,0.437692,240646.0,top2_gap,1,1,0,1,0.792961,0.792961,1.117148,1,2,2:2,2638.5,2383.0
2013_2018,legacy_similarity,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,52.745725,-0.287925,52.745725,59.221804,56.079191,-3.142613,6.188153,3.333466,-2.854688,668149.0,top2_gap,4,4,0,4,1.247103,1.451916,1.852148,1,2,2:4,2223.0,1714.0
2013_2018,legacy_similarity,baseline,300,10,Guarico,4,463,412,463,4,4,100.0,100.0,59.289042,59.042106,-0.246935,59.042106,73.397625,68.162712,-5.234914,14.108584,9.120606,-4.987978,526963.0,top2_gap,2,2,0,2,0.784273,0.604766,1.734908,1,2,2:4,3714.5,2055.0
2013_2018,legacy_similarity,baseline,300,11,Lara,7,1044,963,1027,7,7,100.0,98.371648,47.719486,47.921068,0.201582,47.921068,66.720956,61.336426,-5.384531,19.001471,13.415357,-5.586113,1261626.0,top2_gap,3,3,0,3,0.859777,0.842047,1.714981,1,2,2:7,4064.0,2935.0
2013_2018,legacy_similarity,baseline,300,12,Merida,4,526,511,526,4,4,100.0,100.0,42.885591,42.901403,0.015812,42.901403,66.606371,69.011522,2.405151,23.72078,26.110119,2.389339,602637.0,top2_gap,3,3,0,3,1.27776,1.400433,1.713503,1,2,2:4,3111.0,2838.0
2013_2018,legacy_similarity,baseline,300,13,Miranda,10,1118,1023,1110,10,10,100.0,99.284436,47.296963,47.345187,0.048225,47.345187,76.103796,72.010763,-4.093034,28.806834,24.665575,-4.141259,2075234.0,top2_gap,5,5,0,4,0.871308,0.854857,1.634135,1,2,2:10,3768.5,2780.0
2013_2018,legacy_similarity,baseline,300,14,Monagas,4,536,430,518,4,4,100.0,96.641791,55.464436,55.298651,-0.165785,55.298651,64.569134,60.16198,-4.407154,9.104698,4.863329,-4.241369,625457.0,top2_gap,0,0,0,0,0.967723,1.048801,1.467068,1,2,2:4,3057.5,2842.0
2013_2018,legacy_similarity,baseline,300,15,Nueva Esparta,3,245,226,245,3,3,100.0,100.0,46.909744,46.30126,-0.608484,46.30126,70.128847,67.703243,-2.425604,23.219104,21.401983,-1.81712,350093.0,top2_gap,1,1,0,1,1.14313,1.27956,1.980725,1,2,2:3,3090.0,2713.0
2013_2018,legacy_similarity,baseline,300,16,Portuguesa,4,660,613,654,4,4,100.0,99.090909,65.453833,65.979158,0.525325,65.979158,65.943872,67.902161,1.958289,0.490039,1.923003,1.432964,605921.0,top2_gap,1,1,0,1,1.159107,1.164519,1.912738,1,2,2:4,2768.5,2254.0
2013_2018,legacy_similarity,baseline,300,17,Sucre,4,683,643,671,4,4,100.0,98.243045,57.483592,57.570743,0.087151,57.570743,66.512811,66.287676,-0.225135,9.029219,8.716933,-0.312287,643440.0,top2_gap,0,0,0,0,0.803267,0.903288,1.304568,1,2,2:4,3893.0,3268.0
2013_2018,legacy_similarity,baseline,300,18,Tachira,5,680,669,674,5,5,100.0,99.117647,36.97814,37.039147,0.061007,37.039147,67.981093,63.895165,-4.085928,31.002952,26.856018,-4.146934,868879.0,top2_gap,3,3,0,3,0.96905,0.921551,1.459129,1,2,2:5,3298.0,2996.0
2013_2018,legacy_similarity,baseline,300,19,Trujillo,4,638,630,638,4,4,100.0,100.0,59.789413,59.435006,-0.354408,59.435006,64.62467,65.827852,1.203182,4.835257,6.392847,1.55759,529867.0,top2_gap,1,1,0,1,0.633474,0.516453,1.46768,1,2,2:4,3077.0,3044.0
2013_2018,legacy_similarity,baseline,300,20,Yaracuy,3,487,460,483,3,3,100.0,99.178645,56.530006,56.06488,-0.465126,56.06488,62.830806,58.798405,-4.0324,6.3008,2.733525,-3.567275,430459.0,top2_gap,2,2,0,2,0.958679,0.908697,1.836258,1,2,2:3,1830.0,1569.0
