record_type,from_year,to_year,n_estados,median_pearson_state,p25_pearson_state,p75_pearson_state,median_r2_state,p25_r2_state,p75_r2_state,n_states_pearson_positive,n_states_pearson_gt_0_5,n_states_r2_gt_0_25,n_states_r2_gt_0_50,cod_estado,estado,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,sd_residual_prev,sd_residual_next,mae_delta_residual
state_transition,2013,2018,,,,,,,,,,,,13,Miranda,1026.0,0.870391,0.837773,0.426664,-5.586227,0.757581,23.430122,11.485406,15.698051
state_transition,2013,2018,,,,,,,,,,,,14,Monagas,425.0,0.668922,0.680192,0.492817,-1.556373,0.447457,13.934597,10.266076,8.734113
state_transition,2013,2018,,,,,,,,,,,,15,Nueva Esparta,226.0,0.274625,0.209302,0.161895,-0.715318,0.075419,13.333923,7.860526,11.263616
state_transition,2013,2018,,,,,,,,,,,,16,Portuguesa,610.0,0.638114,0.671651,0.509935,-3.217768,0.40719,16.52522,13.205774,11.549106
state_transition,2013,2018,,,,,,,,,,,,17,Sucre,633.0,0.628478,0.641957,0.492948,-2.096179,0.394985,14.630354,11.475343,9.78896
state_transition,2013,2018,,,,,,,,,,,,18,Tachira,666.0,0.323562,0.369913,0.268142,-2.481475,0.104692,15.352885,12.723268,14.216623
state_transition,2013,2018,,,,,,,,,,,,19,Trujillo,630.0,0.503979,0.56713,0.469065,-2.267021,0.253995,16.416157,15.278908,13.326241
state_transition,2013,2018,,,,,,,,,,,,20,Yaracuy,456.0,0.807133,0.801375,0.641417,-2.469056,0.651463,17.234197,13.695778,8.862496
state_transition,2013,2018,,,,,,,,,,,,21,Zulia,1178.0,0.486845,0.482726,0.310537,-1.497997,0.237018,17.074152,10.890846,13.387145
state_transition,2013,2018,,,,,,,,,,,,22,Amazonas,119.0,0.648177,0.645304,0.649007,-0.572103,0.420134,15.853157,15.873453,9.741045
state_transition,2013,2018,,,,,,,,,,,,23,Delta Amacuro,156.0,0.833699,0.835931,0.848087,-0.098416,0.695055,18.32886,18.645173,7.407608
state_transition,2013,2018,,,,,,,,,,,,24,La Guaira,198.0,0.522407,0.597428,0.290519,-2.740806,0.272909,16.712203,9.293915,12.185478
state_transition,2018,2024,,,,,,,,,,,,01,Distrito Capital,517.0,0.873174,0.871105,1.0974,2.242126,0.762433,7.386058,9.282749,3.693526
state_transition,2018,2024,,,,,,,,,,,,02,Anzoategui,519.0,0.723753,0.69786,0.951753,2.998112,0.523818,10.37766,13.646878,7.204025
state_transition,2018,2024,,,,,,,,,,,,03,Apure,283.0,0.766743,0.787105,0.78057,2.622854,0.587895,14.278256,14.535738,7.588368
state_transition,2018,2024,,,,,,,,,,,,04,Aragua,550.0,0.798564,0.789278,1.240384,1.904652,0.637705,7.3067,11.349265,5.311108
state_transition,2018,2024,,,,,,,,,,,,05,Barinas,459.0,0.578803,0.573959,0.588199,3.381448,0.335013,12.90131,13.110741,9.135775
state_transition,2018,2024,,,,,,,,,,,,06,Bolivar,458.0,0.642917,0.6231,0.8414,4.187447,0.413342,10.179108,13.321636,7.929013
state_transition,2018,2024,,,,,,,,,,,,07,Carabobo,452.0,0.739972,0.695698,0.934665,2.892527,0.547559,8.414578,10.628525,6.196188
state_transition,2018,2024,,,,,,,,,,,,08,Cojedes,184.0,0.713039,0.707353,0.904927,1.663327,0.508424,10.93807,13.881656,7.042323
state_transition,2018,2024,,,,,,,,,,,,09,Falcon,592.0,0.706939,0.706928,0.712672,4.010089,0.499763,14.278842,14.394632,8.644899
state_transition,2018,2024,,,,,,,,,,,,10,Guarico,391.0,0.747118,0.769629,1.068957,2.44604,0.558186,9.267797,13.260123,6.911203
state_transition,2018,2024,,,,,,,,,,,,11,Lara,611.0,0.765378,0.763766,1.089321,5.864138,0.585804,12.581,17.905857,9.726502
state_transition,2018,2024,,,,,,,,,,,,12,Merida,466.0,0.195637,0.160955,0.153347,3.399996,0.038274,13.652873,10.701605,12.195886
state_transition,2018,2024,,,,,,,,,,,,13,Miranda,727.0,0.846033,0.861946,1.315878,7.880816,0.715773,12.084701,18.795935,9.566894
state_transition,2018,2024,,,,,,,,,,,,14,Monagas,376.0,0.674065,0.719169,0.863473,3.559369,0.454364,10.381324,13.298414,7.357649
state_transition,2018,2024,,,,,,,,,,,,15,Nueva Esparta,211.0,0.336038,0.270709,0.428221,0.30028,0.112922,7.339834,9.3533,7.661685
state_transition,2018,2024,,,,,,,,,,,,16,Portuguesa,550.0,0.688919,0.669005,0.833579,5.100634,0.474609,12.8796,15.584079,9.810392
state_transition,2018,2024,,,,,,,,,,,,17,Sucre,587.0,0.604004,0.599789,0.839325,4.890039,0.364821,11.168569,15.519861,10.409895
state_transition,2018,2024,,,,,,,,,,,,18,Tachira,608.0,0.447376,0.467761,0.298396,2.230722,0.200145,11.995741,8.001062,7.770147
state_transition,2018,2024,,,,,,,,,,,,19,Trujillo,560.0,0.678303,0.679082,0.688429,5.019612,0.460095,15.305025,15.53351,10.231008
state_transition,2018,2024,,,,,,,,,,,,20,Yaracuy,413.0,0.845777,0.839223,0.971089,2.675477,0.715338,12.961857,14.882313,6.294313
state_transition,2018,2024,,,,,,,,,,,,21,Zulia,943.0,0.539886,0.532444,0.679771,3.478371,0.291477,11.723273,14.760782,10.625742
state_transition,2018,2024,,,,,,,,,,,,22,Amazonas,61.0,0.634942,0.595082,0.804721,3.148083,0.403152,8.065984,10.222766,6.451106
state_transition,2018,2024,,,,,,,,,,,,23,Delta Amacuro,97.0,0.831504,0.827812,0.900297,3.223447,0.691398,17.043036,18.453069,8.360451
state_transition,2018,2024,,,,,,,,,,,,24,La Guaira,160.0,0.636335,0.646364,0.867652,2.757484,0.404923,8.378558,11.424281,6.392817
