codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
070901003,07,Carabobo,GRUPO ESCOLAR JUAN ANTONIO MICHELENA,6488.0,25,-1.074094,-1.486235,2,1.486235,1.280165,1.296645,-1.280165,1.280165,0.206071,recent_distance,common,1.486235,1,2,longitudinal,2013,,
070403003,07,Carabobo,GRUPO ESCOLAR CARLOS ARVELO,5101.0,61,2.819422,-0.145882,2,0.145882,1.482652,1.996299,1.33677,1.33677,1.482652,recent_distance,common,0.145882,1,2,longitudinal,2013,,
070401016,07,Carabobo,UNIDAD EDUCATIVA NACIONAL EL TOQUITO,4967.0,67,4.268275,1.365251,2,1.365251,2.816763,3.16876,2.816763,2.816763,1.451512,recent_distance,common,1.365251,1,2,longitudinal,2013,,
071201019,07,Carabobo,ESCUELA NACIONAL BARBULA,4774.0,79,0.918813,-1.898067,2,1.898067,1.40844,1.491119,-0.489627,0.489627,1.40844,recent_distance,common,1.898067,1,2,longitudinal,2013,,
070704005,07,Carabobo,ESCUELA MARIA CONCEPCION DE BOLIVAR,4530.0,93,4.568876,-1.628109,2,1.628109,3.098492,3.429677,1.470383,1.470383,3.098492,recent_distance,common,1.628109,1,2,longitudinal,2013,,
071402003,07,Carabobo,UNIDAD EDUCATIVA ESTADAL JUANA GOMEZ,4264.0,106,1.052425,1.309415,2,1.309415,1.18092,1.18789,1.18092,1.18092,0.128495,recent_distance,common,1.309415,1,2,longitudinal,2013,,
070703004,07,Carabobo,ESCUELA BASICA LA SALLE BALOCHE,4166.0,115,7.857261,-0.134806,2,0.134806,3.996034,5.55674,3.861228,3.861228,3.996034,recent_distance,common,0.134806,1,2,longitudinal,2013,,
071201020,07,Carabobo,UNIDAD EDUCATIVA NACIONAL ABDON CALDERON,4103.0,119,0.509274,-1.286708,2,1.286708,0.897991,0.978514,-0.388717,0.388717,0.897991,recent_distance,common,1.286708,1,2,longitudinal,2013,,
080701008,08,Cojedes,ESCUELA  BASICA  FRANCISCO MARIA ARIAS,3396.0,10,5.783731,-0.908513,2,0.908513,3.346122,4.139864,2.437609,2.437609,3.346122,recent_distance,common,0.908513,1,2,longitudinal,2013,,
080301002,08,Cojedes,LICEO BOLIVARIANO HIGINIO MORALES,2805.0,18,-10.965454,-1.711052,2,1.711052,6.338253,7.847576,-6.338253,6.338253,4.627201,recent_distance,common,1.711052,1,2,longitudinal,2013,,
090401006,09,Falcon,UNIDAD EDUCATIVA CARLOS DIEZ DEL CIERVO,5785.0,1,4.397708,-1.215908,2,1.215908,2.806808,3.226319,1.5909,1.5909,2.806808,recent_distance,common,1.215908,1,2,longitudinal,2013,,
091002014,09,Falcon,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA CORO  EXTENSION SAN JOSE,3947.0,6,4.643076,0.972029,2,0.972029,2.807553,3.354325,2.807553,2.807553,1.835523,recent_distance,common,0.972029,1,2,longitudinal,2013,,
090401007,09,Falcon,ESCUELA BÁSICA ANTIGUO AEROPUERTO,3039.0,43,7.163094,0.970975,2,0.970975,4.067034,5.111395,4.067034,4.067034,3.09606,recent_distance,common,0.970975,1,2,longitudinal,2013,,
092101001,09,Falcon,ESCUELA BASICA BOLIVARIANA YARACAL,2316.0,84,-1.850022,-1.802429,2,1.802429,1.826225,1.82638,-1.826225,1.826225,0.023796,recent_distance,common,1.802429,1,2,longitudinal,2013,,
100701003,10,Guarico,ESCUELA BASICA NACIONAL RÓMULO GALLEGOS,5533.0,1,9.637737,0.29868,2,0.29868,4.968208,6.818181,4.968208,4.968208,4.669529,recent_distance,common,0.29868,1,2,longitudinal,2013,,
