codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,similarity,distancia_hist_pp,state_winner,state_top1,state_top2,candidate_profile,pasada,tolerancia_de_entrada,metodo,transicion
080201004,08,ESCUELA BASICA ANTONIO JOSE DE SUCRE,Cojedes,2910,4,15,winner_share,1.098806,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
080301002,08,LICEO BOLIVARIANO HIGINIO MORALES,Cojedes,2894,4,16,winner_share,0.602096,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091002014,09,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA CORO  EXTENSION SAN JOSE,Falcon,4178,6,7,winner_share,1.827132,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091001020,09,ESCUELA BASICA VELITA II,Falcon,3696,5,19,winner_share,1.632595,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091001022,09,COMPLEJO EDUCATIVO MIGUEL LOPEZ GARCIA,Falcon,3683,5,20,winner_share,1.449814,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
090401007,09,ESCUELA BÁSICA ANTIGUO AEROPUERTO,Falcon,3466,5,28,winner_share,1.3747,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
100701003,10,ESCUELA BASICA NACIONAL RÓMULO GALLEGOS,Guarico,5067,7,4,winner_share,1.224525,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
101101001,10,ESCUELA BASICA CARLOS IRAZABAL PEREZ,Guarico,4551,6,7,winner_share,1.174849,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
100301009,10,ESCUELA BASICA CELINA ACOSTA DE VIANA,Guarico,4397,6,8,winner_share,0.186292,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
100301021,10,LICEO FRANCISCO DE MIRANDA,Guarico,4005,6,19,winner_share,0.867989,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110207048,11,ESCUELA BASICA SIMON BOLIVAR,Lara,7145,10,3,winner_share,0.461905,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110203002,11,UNIDAD EDUCATIVA MARIA LEDEZMA,Lara,6854,9,4,winner_share,1.967708,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110207015,11,UNIDAD EDUCATVA BERNABE PLANAS,Lara,6514,9,5,winner_share,1.293131,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110204001,11,UNIDAD EDUCATIVA CORONEL GENARO VASQUEZ,Lara,5122,7,13,winner_share,0.329741,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110601017,11,UNIDAD EDUCATIVA ESTADAL RAIMUNDO PERNALETE,Lara,4398,6,20,winner_share,0.856538,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110601011,11,UNIDAD EDUCATIVA NACIONAL EXPEDITO CORTES,Lara,4238,6,26,winner_share,1.231483,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
110601014,11,ESCUELA BASICA ARGENIS GRATEROL,Lara,4064,6,36,winner_share,0.471164,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
120806002,12,UNIDAD EDUCATIVA ANDRES ELOY BLANCO,Merida,4709,6,1,winner_share,0.610792,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
120107003,12,ESCUELA BASICA ANDRES BELLO,Merida,4375,6,3,winner_share,1.53018,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
120901001,12,ESCUELA ESTADO APURE,Merida,3594,5,10,winner_share,1.950133,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
120806001,12,GRUPO ESCOLAR EL EDUCADOR,Merida,3574,5,11,winner_share,1.539775,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
131101024,13,ESCUELA EL INGENIO,Miranda,5989,8,34,winner_share,0.398702,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
131603002,13,UNIDAD EDUCATIVA ESTADAL  ADOLFO NAVAS  CORONADO,Miranda,5762,8,41,winner_share,0.523843,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130903007,13,UNIDAD EDUCATIVA FE Y ALEGRIA PADRE JOAQUIN LOPEZ,Miranda,4876,7,75,winner_share,1.724082,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130301037,13,UNIDAD ESTADAL EDUCATIVA CECILIO ACOSTA 1,Miranda,4830,7,79,winner_share,1.118211,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130901091,13,ESCUELA BASICA NACIONAL . ANTONIO ORDONEZ,Miranda,4760,7,86,winner_share,1.346652,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
131603005,13,UNIDAD EDUCATIVA NACIONAL TITO SALAS,Miranda,4657,7,91,winner_share,1.896698,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130101001,13,UNIDAD EDUCATIVA ROSCIO,Miranda,4366,6,106,winner_share,1.963475,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130901099,13,UNIDAD EDUCATIVA NACIONAL LICEO MARIANO PICON SALAS,Miranda,4078,6,123,winner_share,0.196554,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
131101007,13,GRUPO ESCOLAR ELIAS CALIXTO POMPA,Miranda,4010,6,127,winner_share,0.143104,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
130901021,13,ESCUELA TECNICA LEONARDO INFANTE,Miranda,3903,5,139,winner_share,0.991023,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
140807001,14,ESCUELA TERESA CARREÑO,Monagas,3479,5,17,winner_share,0.688536,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
140710010,14,ESCUELA PRIMARIA NACIONAL JUAN FRANCISCO MILA DE LA ROCA,Monagas,3129,4,35,winner_share,0.17461,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
140708016,14,ESCUELA BASICA CECILIO ACOSTA,Monagas,2986,4,42,winner_share,0.742756,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
140501001,14,ESCUELA BÁSICA ALBERTO RAVELL,Monagas,2842,4,53,winner_share,0.455874,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
151101001,15,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MONSENOR EDUARDO VASQUEZ,Nueva Esparta,3242,5,7,winner_share,1.027275,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
