codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
140710010,14,ESCUELA PRIMARIA NACIONAL JUAN FRANCISCO MILA DE LA ROCA,Monagas,3129,4,35,55.289826,55.464436,0.17461,1,2,legacy,2013_2018
140708016,14,ESCUELA BASICA CECILIO ACOSTA,Monagas,2986,4,42,56.207192,55.464436,0.742756,1,2,legacy,2013_2018
140501001,14,ESCUELA BÁSICA ALBERTO RAVELL,Monagas,2842,4,53,55.008562,55.464436,0.455874,1,2,legacy,2013_2018
151101001,15,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MONSENOR EDUARDO VASQUEZ,Nueva Esparta,3242,5,7,45.916031,46.909744,0.993713,1,2,legacy,2013_2018
151102002,15,UNIDAD EDUCATIVA ESCUELA BÁSICA VILLA ROSA,Nueva Esparta,3103,4,10,45.847055,46.909744,1.062689,1,2,legacy,2013_2018
150601023,15,UNIDAD EDUCATIVA RAFAEL SALAZAR BRITO,Nueva Esparta,3090,4,12,46.281678,46.909744,0.628065,1,2,legacy,2013_2018
160101047,16,ESCUELA BASICA YOLANDA RIVERA DE PIERUZZINI,Portuguesa,3895,6,2,66.477093,65.453833,1.02326,1,2,legacy,2013_2018
160601021,16,UNIDAD EDUCATIVA COLEGIO PRIVADO FE Y ALEGRIA NUESTRA SENORA DE COROMOTO,Portuguesa,3420,5,14,67.132867,65.453833,1.679034,1,2,legacy,2013_2018
160601015,16,GRUPO ESCOLAR BOLIVARIANO DURIGUA,Portuguesa,2986,4,34,65.267616,65.453833,0.186216,1,2,legacy,2013_2018
160201006,16,ESCUELA BASICA  ANTONIO RODRIGUEZ PICON,Portuguesa,2551,4,59,65.757576,65.453833,0.303743,1,2,legacy,2013_2018
170903019,17,ESCUELA BOLIVARIANA RÍO CARIBE,Sucre,4864,7,3,57.444505,57.483592,0.039087,1,2,legacy,2013_2018
170301012,17,LICEO JOSÉ FRANCISCO BERMÚDEZ,Sucre,4030,6,10,58.107256,57.483592,0.623664,1,2,legacy,2013_2018
170907002,17,UNIDAD EDUCATIVA NUEVA CÓRDOBA,Sucre,3756,5,14,56.840455,57.483592,0.643137,1,2,legacy,2013_2018
170903006,17,UNIDAD EDUCATIVA GRAN MARISCAL DE AYACUCHO,Sucre,3268,5,28,57.806065,57.483592,0.322473,1,2,legacy,2013_2018
181601011,18,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA SIMON BOLIVAR,Tachira,5547,8,7,37.333333,36.97814,0.355193,1,2,legacy,2013_2018
181001004,18,ESCUELA BASICA NACIONAL BOLIVARIANA DOCTOR FRANCISCO JAVIER GARCIA DE HEVIA,Tachira,4119,6,26,38.404065,36.97814,1.425924,1,2,legacy,2013_2018
181601001,18,ESCUELA BOLIVARIANA NACIONAL LA FRONTERA,Tachira,4049,6,29,35.516373,36.97814,1.461767,1,2,legacy,2013_2018
180202001,18,GRUPO ESCOLAR  EL PALOTAL,Tachira,3981,6,30,37.587007,36.97814,0.608867,1,2,legacy,2013_2018
181201011,18,UNIDAD EDUCATIVA GENERAL JOSE ANTONIO PAEZ,Tachira,3773,5,40,35.314325,36.97814,1.663815,1,2,legacy,2013_2018
190702007,19,ESCUELA BOLIVARIANA CIUDAD DE VALERA,Trujillo,3334,5,14,60.973663,59.789413,1.18425,1,2,legacy,2013_2018
190507001,19,UNIDAD EDUCATIVA DOCTOR ANDRÉS LOMELLI ROSARIO,Trujillo,3230,5,20,58.86338,59.789413,0.926034,1,2,legacy,2013_2018
