transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,12,Merida,4,514,514,514,4,4,100.0,100.0,48.454019,47.102091,-1.351928,47.102091,42.885591,40.441563,-2.444028,-5.568428,-6.660528,-1.0921,576870.0,2013,historical_mae,common,3
2013,longitudinal,baseline,300,13,Miranda,10,1040,1038,1040,10,10,100.0,100.0,49.98078,48.797304,-1.183476,48.797304,47.296963,44.854347,-2.442616,-2.683818,-3.942957,-1.25914,1950657.0,2013,historical_mae,common,10
2013,longitudinal,baseline,300,14,Monagas,4,469,467,469,4,4,100.0,100.0,58.324918,58.192034,-0.132884,58.192034,55.464436,54.387173,-1.077263,-2.860482,-3.804861,-0.944379,594585.0,2013,historical_mae,common,4
2013,longitudinal,baseline,300,15,Nueva Esparta,3,230,230,230,3,3,100.0,100.0,51.022947,50.512445,-0.510502,50.512445,46.909744,46.089096,-0.820648,-4.113204,-4.423349,-0.310145,329544.0,2013,historical_mae,common,3
2013,longitudinal,baseline,300,16,Portuguesa,4,621,620,621,4,4,100.0,100.0,71.143621,70.21097,-0.932651,70.21097,65.453833,63.992419,-1.461413,-5.689788,-6.218551,-0.528763,577589.0,2013,historical_mae,common,3
2013,longitudinal,baseline,300,17,Sucre,4,646,646,646,4,4,100.0,100.0,60.234865,61.316627,1.081762,61.316627,57.483592,56.85751,-0.626082,-2.751273,-4.459117,-1.707844,627075.0,2013,historical_mae,common,3
2013,longitudinal,baseline,300,18,Tachira,5,677,677,677,5,5,100.0,100.0,43.291451,42.623791,-0.66766,42.623791,36.97814,35.48715,-1.490991,-6.313311,-7.136642,-0.823331,799086.0,2013,historical_mae,common,5
2013,longitudinal,baseline,300,19,Trujillo,4,634,633,634,4,4,100.0,100.0,64.104775,63.348186,-0.756589,63.348186,59.789413,58.03832,-1.751093,-4.315361,-5.309866,-0.994504,500938.0,2013,historical_mae,common,4
2013,longitudinal,baseline,300,20,Yaracuy,3,462,462,462,3,3,100.0,100.0,59.997593,59.089109,-0.908484,59.089109,56.530006,54.893534,-1.636472,-3.467587,-4.195575,-0.727988,405385.0,2013,historical_mae,common,2
2013,longitudinal,baseline,300,21,Zulia,12,1215,1212,1215,12,12,100.0,100.0,53.343077,52.664282,-0.678795,52.664282,47.688074,46.406344,-1.281731,-5.655003,-6.257939,-0.602936,2332974.0,2013,historical_mae,common,12
2013,longitudinal,baseline,300,22,Amazonas,2,126,124,126,2,2,100.0,100.0,53.618891,52.524807,-1.094084,52.524807,52.458365,50.314329,-2.144036,-1.160526,-2.210478,-1.049952,96290.0,2013,historical_mae,common,1
2013,longitudinal,baseline,300,23,Delta Amacuro,2,178,177,178,2,2,100.0,100.0,66.843008,68.150346,1.307338,68.150346,61.63058,62.475822,0.845242,-5.212428,-5.674524,-0.462096,113246.0,2013,historical_mae,common,2
2013,longitudinal,baseline,300,24,La Guaira,3,198,198,198,3,3,100.0,100.0,61.470904,60.675596,-0.795308,60.675596,57.085172,55.568524,-1.516648,-4.385732,-5.107071,-0.72134,265911.0,2013,historical_mae,common,2
